"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000440",2219.12285828675,-7.15768943961523,0.188899880011445,-37.8914451358125,0,0
"ENSMUSG00000009281",8876.48378414179,-6.02306750636771,0.133589252940773,-45.0864674648495,0,0
"ENSMUSG00000020689",4641.61735631465,-5.64241593654295,0.122724265007305,-45.9763677232623,0,0
"ENSMUSG00000022464",18491.6039475728,-4.44839243195745,0.108034552176537,-41.1756455905738,0,0
"ENSMUSG00000029648",36196.1632492297,-5.75894124877633,0.115825066079117,-49.7210270947962,0,0
"ENSMUSG00000032666",4897.95564153874,-4.80400731540845,0.120671489633733,-39.8106241166804,0,0
"ENSMUSG00000039116",3808.30466344128,-4.78356501156608,0.119556894467712,-40.0107834254424,0,0
"ENSMUSG00000044258",17947.9349674496,-6.79584193559891,0.152784711538542,-44.4798557863858,0,0
"ENSMUSG00000044447",3125.97405133727,-5.6213347422844,0.120489713916842,-46.654063318335,0,0
"ENSMUSG00000055368",3320.70616223086,-6.75670714243589,0.134330569042125,-50.2991031052437,0,0
"ENSMUSG00000068270",3015.69796274597,-5.2390758953807,0.119630574724585,-43.7937868930427,0,0
"ENSMUSG00000028640",2254.85648236972,-7.43384203330254,0.202222901423638,-36.7606338400285,7.86269822692618e-296,1.38049324119256e-292
"ENSMUSG00000023169",10507.3388061922,-3.7120462652541,0.101782427577137,-36.4704041121527,3.26751955311073e-291,5.29564380496077e-288
"ENSMUSG00000068048",2362.7557069731,-6.80681351800598,0.188162672029161,-36.1751533638462,1.49712946700173e-286,2.10286804935063e-283
"ENSMUSG00000097436",2362.7557069731,-6.80681351800598,0.188162672029161,-36.1751533638462,1.49712946700173e-286,2.10286804935063e-283
"ENSMUSG00000017697",3550.88606481165,-7.67354735314877,0.214228647976664,-35.8194266995731,5.50516615811278e-281,7.24927161157989e-278
"ENSMUSG00000030657",2049.44041315105,-4.57958781009786,0.129380993343256,-35.3961404357742,1.95765219572204e-274,2.42622200656869e-271
"ENSMUSG00000051586",3212.14552896154,-3.83442080590796,0.109710921239158,-34.950219746577,1.28499723782542e-267,1.50408926687466e-264
"ENSMUSG00000026249",2307.79302897186,-3.65014503524164,0.106644771042402,-34.2271355600767,9.54772266046069e-257,1.0587419407013e-253
"ENSMUSG00000057722",10254.2414766518,-7.61221892327828,0.227539779488165,-33.4544532846144,2.21722791010272e-245,2.33573874189771e-242
"ENSMUSG00000031659",3175.32164980307,-5.04798264648837,0.151069286332096,-33.4150161760305,8.29791613186526e-245,8.32518071344139e-242
"ENSMUSG00000025020",1511.86830094957,-5.42914543732078,0.162497159961315,-33.4107096924849,9.58332890415109e-245,9.17777984916179e-242
"ENSMUSG00000050345",1770.9362393054,-7.99198818859695,0.239329331708781,-33.3932666403034,1.71702618114904e-244,1.57287063524475e-241
"ENSMUSG00000033419",1511.22565833786,-7.30982279231567,0.219888109335592,-33.2433746163121,2.54483263234839e-242,2.23404494712284e-239
"ENSMUSG00000022799",3160.3933560214,-2.77476822846032,0.0835402215655926,-33.2147578311326,6.59184697716115e-242,5.55534495847233e-239
"ENSMUSG00000028766",1543.96080178879,-7.37243564729448,0.223959492489165,-32.9186120461099,1.19054031669978e-237,9.64749766636445e-235
"ENSMUSG00000028698",1333.84672108172,-3.562774762918,0.108549989490232,-32.8215118181894,2.90508103791903e-236,2.26693156992282e-233
"ENSMUSG00000041313",5906.76650674139,-4.43849982945859,0.138826091964266,-31.9716543674013,2.70229756406676e-224,2.03338240633295e-221
"ENSMUSG00000032462",2809.45398884273,-2.65195501091453,0.0838630127463407,-31.6224629198078,1.81375304454537e-219,1.31772285846642e-216
"ENSMUSG00000052085",1771.05659149258,-3.46484149255945,0.110047060462344,-31.4850889974026,1.3899099173754e-217,9.76133734972745e-215
"ENSMUSG00000018507",1674.47180061988,-5.64457878124789,0.180099035077266,-31.3415270594107,1.26919776779894e-215,8.62604121605025e-213
"ENSMUSG00000021591",1707.93032950997,3.12450025395684,0.100167843944787,31.1926475694044,1.34043569521032e-213,8.82551239449572e-211
